AY/A,Att,Att.1,Cmp,Cmp%,Ctch%,Date,Def%,DefSnp,FF,FL,FR,FRTD,Fmb,GS,Gcar,Gtm,Int,KRTD,Off%,OffSnp,Opp,PRTD,Rate,Rec,Result,Ret,Rk,ST%,STSnp,Sk,TD,TD.1,TD.2,Team,Tgt,Week,Y/A,Y/A.1,Y/R,Y/Ret,Y/Tgt,Yds,Yds.1,Yds.2,Yds.3,Yds.4,col_6,player_id,season,source_file,injured
,50.0,,,,78.9,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,74.6,167.0,,,,15.0,1-3,,,0.0,0.0,,0.0,0.0,,,19.0,,4.0,,9.7,,7.7,202.0,146.0,0.0,,,,mccach01,2024,mccach01_2024_gamelog.csv,False
,,,,,,2024-09-08,,,,,,,,Did Not Play,,1.0,,,,,DAL,,,,"L, 17-33",,,,,,,,,CLE,,1.0,,,,,,,,,,,,chubni00,2024,chubni00_2024_gamelog.csv,True
,,,,,,2024-09-15,,,,,,,,Did Not Play,,2.0,,,,,JAX,,,,"W, 18-13",,,,,,,,,CLE,,2.0,,,,,,,,,,,@,chubni00,2024,chubni00_2024_gamelog.csv,True
,,,,,,2024-09-22,,,,,,,,Did Not Play,,3.0,,,,,NYG,,,,"L, 15-21",,,,,,,,,CLE,,3.0,,,,,,,,,,,,chubni00,2024,chubni00_2024_gamelog.csv,True
,,,,,,2024-09-29,,,,,,,,Did Not Play,,4.0,,,,,LVR,,,,"L, 16-20",,,,,,,,,CLE,,4.0,,,,,,,,,,,@,chubni00,2024,chubni00_2024_gamelog.csv,True
,,,,,,2024-10-06,,,,,,,,Did Not Play,,5.0,,,,,WAS,,,,"L, 13-34",,,,,,,,,CLE,,5.0,,,,,,,,,,,@,chubni00,2024,chubni00_2024_gamelog.csv,True
,,,,,,2024-10-13,,,,,,,,Did Not Play,,6.0,,,,,PHI,,,,"L, 16-20",,,,,,,,,CLE,,6.0,,,,,,,,,,,@,chubni00,2024,chubni00_2024_gamelog.csv,True
,11.0,,,,33.3,2024-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,78.0,7.0,,,35.7,30.0,CIN,,,1.0,"L, 14-21",,1.0,0.0,0.0,,1.0,0.0,,CLE,3.0,7.0,2.0,,10.0,,3.3,22.0,10.0,0.0,,,,chubni00,2024,chubni00_2024_gamelog.csv,False
,16.0,,,,0.0,2024-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,79.0,8.0,,,59.4,41.0,BAL,,,0.0,"W, 29-24",,2.0,0.0,0.0,,0.0,0.0,,CLE,2.0,8.0,3.3,,,,0.0,52.0,0.0,0.0,,,,chubni00,2024,chubni00_2024_gamelog.csv,False
,15.0,,,,100.0,2024-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,80.0,9.0,,,35.4,28.0,LAC,,,1.0,"L, 10-27",,3.0,0.0,0.0,,0.0,0.0,,CLE,1.0,9.0,2.6,,-4.0,,-4.0,39.0,-4.0,0.0,,,,chubni00,2024,chubni00_2024_gamelog.csv,False
,11.0,,,,,2024-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,81.0,10.0,,,30.1,22.0,NOR,,,0.0,"L, 14-35",,4.0,0.0,0.0,,0.0,0.0,,CLE,0.0,11.0,4.5,,,,,50.0,0.0,0.0,,,@,chubni00,2024,chubni00_2024_gamelog.csv,False
